region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,ESR_1,ESR_2,MinCapTag_1,MinCapTag_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Commit,Hydro_level
CA_N,CA_N_biomass_1.0,biomass,1.0,1,1,0,0.9,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,68.152,0.0,56.0,168.392,-1,1.217,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,122976,0.0,0,0,5.66,0.0,0.0,0.0,0.0,0.0,16.16,1.483,4.067,None,0.354,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
CA_N,CA_N_conventional_hydroelectric_1.0,conventional_hydroelectric,1.0,2,1,0,0.0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,7274.007,0.0,117.0,7274.007,-1,62.171,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,44560,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.01,None,0.06,0.0,1.0,1.0,158.73,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5
CA_N,CA_N_geothermal_1.0,geothermal,1.0,3,1,0,0.9,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,670.956,0.0,23.0,880.394,-1,29.172,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,198040,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,None,0.389,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
CA_N,CA_N_hydroelectric_pumped_storage_1.0,hydroelectric_pumped_storage,1.0,4,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1791.0,0.0,20.0,1791.0,0,89.55,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,38460,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.266,0.0,0.866,0.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
CA_N,CA_N_natural_gas_fired_combined_cycle_1.0,natural_gas_fired_combined_cycle,1.0,5,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3568.301,0.0,11.0,3568.301,1,324.391,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,11243,0.0,0,0,3.7,0.0,0.0,0.0,87.0,0.0,7.04,0.954,2.139,pacific_naturalgas,0.504,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6.0,6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
CA_N,CA_N_natural_gas_fired_combustion_turbine_1.0,natural_gas_fired_combustion_turbine,1.0,6,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1819.608,0.0,21.0,1819.608,1,86.648,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,9960,0.0,0,0,4.41,0.0,0.0,0.0,113.0,0.0,10.86,0.879,1.449,pacific_naturalgas,0.505,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
CA_N,CA_N_onshore_wind_turbine_1.0,onshore_wind_turbine,1.0,7,1,1,0.0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,1327.6,0.0,3.0,7.5,0,2.5,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,43205,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,0.053,0.061,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
CA_N,CA_N_small_hydroelectric_1.0,small_hydroelectric,1.0,8,1,0,0.0,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,263.606,0.0,133.0,729.372,-1,1.982,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,44560,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.003,None,0.085,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
CA_N,CA_N_solar_photovoltaic_1.0,solar_photovoltaic,1.0,9,1,1,0.0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,2787.1,0.0,190.0,3282.25,0,17.275,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,18760,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.0,0.025,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
CA_S,CA_S_biomass_1.0,biomass,1.0,10,2,0,0.9,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,72.91,0.0,46.0,138.506,-1,1.585,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,122976,0.0,0,0,3.97,0.0,0.0,0.0,0.0,0.0,11.35,1.859,2.554,None,0.51,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
